time,seconds_elapsed,relativeAltitude,pressure
1640169662179532300,1.3695322265625,-0.01318359375,826.1972045898438
1640169662219532300,1.4095322265625,-0.01318359375,826.1972045898438
1640169662259532300,1.4495322265625,-0.010498046875,826.1968994140625
1640169662299532300,1.4895322265625,-0.010498046875,826.1968994140625
1640169662339532300,1.5295322265625,-0.0079345703125,826.1966552734375
1640169662379532300,1.5695322265625,-0.0079345703125,826.1966552734375
1640169662419532300,1.6095322265625,-0.0079345703125,826.1966552734375
1640169662459532300,1.6495322265625,-0.0079345703125,826.1966552734375
1640169662499532300,1.6895322265625,-0.0052490234375,826.196533203125
1640169662539532300,1.7295322265625,-0.0052490234375,826.196533203125
1640169662579532300,1.7695322265625,-0.0052490234375,826.1964721679688
1640169662619532300,1.8095322265625,-0.0052490234375,826.1964721679688
1640169662659532300,1.8495322265625,-0.002685546875,826.1961669921875
1640169662699532300,1.8895322265625,-0.002685546875,826.1961669921875
1640169662739532300,1.9295322265625,-0.002685546875,826.196044921875
1640169662779532300,1.9695322265625,-0.002685546875,826.196044921875
1640169662819532300,2.0095322265625,0,826.1959228515625
1640169662859532300,2.0495322265625,0,826.1959228515625
1640169662899532300,2.0895322265625,0,826.1958618164062
1640169662939532300,2.1295322265625,0,826.1958618164062
1640169662979532300,2.1695322265625,0.002685546875,826.1957397460938
1640169663019532300,2.2095322265625,0.002685546875,826.1957397460938
1640169663059532300,2.2495322265625,0.002685546875,826.1957397460938
1640169663099532300,2.2895322265625,0.002685546875,826.1957397460938
1640169663139532300,2.3295322265625,0.002685546875,826.195556640625
1640169663179532300,2.3695322265625,0.002685546875,826.195556640625
1640169663219532300,2.4095322265625,0.002685546875,826.1954956054688
1640169663259532300,2.4495322265625,0.002685546875,826.1954956054688
1640169663299532300,2.4895322265625,0.0052490234375,826.1952514648438
1640169663339532300,2.5295322265625,0.0052490234375,826.1952514648438
1640169663379532300,2.5695322265625,0.0079345703125,826.1951904296875
1640169663419532300,2.6095322265625,0.0079345703125,826.1951904296875
1640169663459532300,2.6495322265625,0.01318359375,826.1946411132812
1640169663499532300,2.6895322265625,0.01318359375,826.1946411132812
1640169663539532300,2.7295322265625,0.015869140625,826.1943969726562
1640169663579532300,2.7695322265625,0.015869140625,826.1943969726562
1640169663619532300,2.8095322265625,0.0185546875,826.1939697265625
1640169663659532300,2.8495322265625,0.0185546875,826.1939697265625
